¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-04-21,N/A,3.2031,3.2942,3.0447,3.0685,25472779,205135982,N/A,N/A,8.0531,42.4546,465000000,N/A,1317500000,60000000,0,170000000,39.8724,6.8818,4.6728,-109.1709,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-04-22,3.0685,3.017,3.0368,2.9101,2.9616,7903487,59411511,-0.1069,-3.4839,7.5171,13.1725,448800000,N/A,1271600000,60000000,0,170000000,38.4833,6.642,4.51,-105.3675,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-04-23,2.9616,2.9339,2.9537,2.8705,2.8943,4763357,34884687,-0.0673,-2.2727,7.3236,7.9389,438600000,N/A,1242700000,60000000,0,170000000,37.6087,6.4911,4.4075,-102.9728,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-04-26,2.8943,2.8903,2.9259,2.8072,2.8428,3181848,22977750,-0.0515,-1.7784,7.2215,5.3031,430800000,N/A,1220600000,60000000,0,170000000,36.9399,6.3757,4.3291,-101.1415,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-04-27,2.8428,2.7715,2.7874,2.6963,2.7201,2849172,19736936,-0.1227,-4.3175,6.9273,4.7486,412200000,N/A,1167900000,60000000,0,170000000,35.345,6.1004,4.1422,-96.7747,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-04-28,2.7201,2.7082,2.9061,2.7042,2.823,6048586,43353721,0.1029,3.7846,7.1676,10.081,427800000,N/A,1212100000,60000000,0,170000000,36.6826,6.3313,4.299,-100.4372,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-04-29,2.823,2.823,2.8309,2.7319,2.7715,3290119,23094728,-0.0515,-1.8233,7.0194,5.4835,420000000,N/A,1190000000,60000000,0,170000000,36.0138,6.2158,4.2206,-98.606,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-04-30,2.7715,2.7794,2.8428,2.7438,2.8072,1863221,13176416,0.0356,1.2857,7.0718,3.1054,425400000,N/A,1205300000,60000000,0,170000000,36.4768,6.2957,4.2749,-99.8737,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-05-10,2.8072,2.8072,2.8309,2.7161,2.728,1350157,9355334,-0.0792,-2.8209,6.9291,2.2503,413400000,N/A,1171300000,60000000,0,170000000,35.4479,6.1181,4.1543,-97.0564,
600493.SH,∑Ô÷Ò∑ƒ÷Ø,2004-05-11,2.728,2.7121,2.7755,2.7003,2.7517,914249,6316452,0.0238,0.8708,6.9089,1.5237,417000000,N/A,1181500000,60000000,0,170000000,35.7566,6.1714,4.1905,-97.9016,
