´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
600573.SH,»ÝÈªÆ¡¾Æ,2003-02-26,N/A,8.9396,9.1712,8.9396,8.9473,29139764,340474681,N/A,N/A,11.6842,46.2536,730170000,N/A,2897500000,63000000,0,250000000,41.6618,6.5663,3.1992,311.5144,
600573.SH,»ÝÈªÆ¡¾Æ,2003-02-27,8.9473,8.8624,9.0708,8.8083,9.0091,7623428,88453052,0.0618,0.6903,11.6028,12.1007,735210000,N/A,2917500000,63000000,0,250000000,41.9494,6.6116,3.2213,313.6646,
600573.SH,»ÝÈªÆ¡¾Æ,2003-02-28,9.0091,9.0013,9.0091,8.8238,8.8701,3852465,44401756,-0.139,-1.5424,11.5255,6.115,723870000,N/A,2872500000,63000000,0,250000000,41.3023,6.5097,3.1716,308.8266,
600573.SH,»ÝÈªÆ¡¾Æ,2003-03-03,8.8701,8.8392,8.9859,8.8315,8.9473,2991671,34488340,0.0772,0.8703,11.5281,4.7487,730170000,N/A,2897500000,63000000,0,250000000,41.6618,6.5663,3.1992,311.5144,
600573.SH,»ÝÈªÆ¡¾Æ,2003-03-04,8.9473,8.9396,8.9396,8.8315,8.8624,3046540,35028509,-0.0849,-0.9491,11.4978,4.8358,723240000,N/A,2870000000,63000000,0,250000000,41.2664,6.504,3.1688,308.5578,
600573.SH,»ÝÈªÆ¡¾Æ,2003-03-05,8.8624,8.8392,8.8701,8.6462,8.6925,4578384,51637600,-0.1698,-1.9164,11.2786,7.2673,709380000,N/A,2815000000,63000000,0,250000000,40.4756,6.3794,3.1081,302.6447,
600573.SH,»ÝÈªÆ¡¾Æ,2003-03-06,8.6925,8.6848,8.7003,8.5227,8.569,3521886,39104365,-0.1235,-1.421,11.1032,5.5903,699300000,N/A,2775000000,63000000,0,250000000,39.9004,6.2887,3.0639,298.3442,
600573.SH,»ÝÈªÆ¡¾Æ,2003-03-07,8.569,8.5304,8.6462,8.515,8.5381,1671575,18556789,-0.0309,-0.3604,11.1014,2.6533,696780000,N/A,2765000000,63000000,0,250000000,39.7566,6.266,3.0529,297.2691,
600573.SH,»ÝÈªÆ¡¾Æ,2003-03-10,8.5381,8.569,8.5999,8.3683,8.3915,1824152,19913342,-0.1467,-1.7179,10.9165,2.8955,684810000,N/A,2717500000,63000000,0,250000000,39.0737,6.1584,3.0005,292.1623,
600573.SH,»ÝÈªÆ¡¾Æ,2003-03-11,8.3915,8.376,8.4378,8.3297,8.3915,1249793,13575549,0,0,10.8622,1.9838,684810000,N/A,2717500000,63000000,0,250000000,39.0737,6.1584,3.0005,292.1623,
600573.SH,»ÝÈªÆ¡¾Æ,2003-03-12,8.3915,8.3606,8.4532,8.2988,8.4455,1593488,17262829,0.054,0.644,10.8334,2.5293,689220000,N/A,2735000000,63000000,0,250000000,39.3253,6.1981,3.0198,294.0438,
