덜쯤,숌냔,휑퍅,품澗턍송(禱),역턍송(禱),離멕송(禱),離됴송(禱),澗턍송(禱),냥슥좆(믈),냥슥쏜띨(禱),朗딨(禱),朗딨류(%),엇송(禱),뻣癎쪽(%),A믈직繫懇令(禱),B믈직繫懇令(禱),悧懇令(禱),A믈직繫믈굶(믈),B믈직繫믈굶(믈),悧믈굶(믈),懇簞쪽,懇씐쪽,懇饋쪽,懇君쪽,
600581.SH,*ST검멀,2002-08-16,N/A,2.4163,3.4734,2.3498,2.8935,91994843,809655640,N/A,N/A,8.8011,70.7653,1245400000,N/A,3922318803,130000000,0,409427850,18.729,6.0284,1.2699,37.2338,
600581.SH,*ST검멀,2002-08-19,2.8935,2.6881,2.7576,2.6217,2.6428,48504845,432422036,-0.2507,-8.6639,8.915,37.3114,1137500000,N/A,3582493687.5,130000000,0,409427850,17.1063,5.5062,1.1599,34.0079,
600581.SH,*ST검멀,2002-08-20,2.6428,2.6428,2.7032,2.6156,2.6881,22521073,198696058,0.0453,1.7143,8.8227,17.3239,1157000000,N/A,3643907865,130000000,0,409427850,17.3996,5.6005,1.1798,34.5909,
600581.SH,*ST검멀,2002-08-21,2.6881,2.6911,2.7727,2.6489,2.7334,23721608,213608161,0.0453,1.6854,9.0048,18.2474,1176500000,N/A,3705322042.5,130000000,0,409427850,17.6928,5.6949,1.1997,35.1739,
600581.SH,*ST검멀,2002-08-22,2.7334,2.7213,2.7516,2.6881,2.7093,14476499,130292574,-0.0242,-0.884,9.0003,11.1358,1166100000,N/A,3672567814.5,130000000,0,409427850,17.5364,5.6446,1.1891,34.863,
600581.SH,*ST검멀,2002-08-23,2.7093,2.7032,2.7244,2.6821,2.6881,7561562,67417558,-0.0211,-0.7804,8.9158,5.8166,1157000000,N/A,3643907865,130000000,0,409427850,17.3996,5.6005,1.1798,34.5909,
600581.SH,*ST검멀,2002-08-26,2.6881,2.6821,2.7364,2.6791,2.6821,6558551,58626155,-0.006,-0.2247,8.9389,5.045,1154400000,N/A,3635719308,130000000,0,409427850,17.3605,5.588,1.1771,34.5132,
600581.SH,*ST검멀,2002-08-27,2.6821,2.673,2.7032,2.6307,2.6519,10159469,89361257,-0.0302,-1.1261,8.7959,7.815,1141400000,N/A,3594776523,130000000,0,409427850,17.165,5.525,1.1639,34.1245,
600581.SH,*ST검멀,2002-08-28,2.6519,2.6519,2.6821,2.6368,2.664,4421644,38918464,0.0121,0.4556,8.8018,3.4013,1146600000,N/A,3611153637,130000000,0,409427850,17.2432,5.5502,1.1692,34.28,
600581.SH,*ST검멀,2002-08-29,2.664,2.664,2.676,2.6156,2.6247,5192499,45333022,-0.0393,-1.4739,8.7305,3.9942,1129700000,N/A,3557928016.5,130000000,0,409427850,16.989,5.4684,1.1519,33.7747,
600581.SH,*ST검멀,2002-08-30,2.6247,2.6187,2.6428,2.5734,2.6036,6484692,55707691,-0.0211,-0.8055,8.5906,4.9882,1120600000,N/A,3529268067,130000000,0,409427850,16.8522,5.4243,1.1427,33.5026,
600581.SH,*ST검멀,2002-09-02,2.6036,2.6126,2.6519,2.5915,2.6398,3800438,33117272,0.0362,1.3921,8.7141,2.9234,1136200000,N/A,3578399409,130000000,0,409427850,17.0868,5.4999,1.1586,33.969,
600581.SH,*ST검멀,2002-09-03,2.6398,2.6338,2.6609,2.6217,2.6368,2829436,24735370,-0.003,-0.1144,8.7422,2.1765,1134900000,N/A,3574305130.5,130000000,0,409427850,17.0672,5.4936,1.1572,33.9302,
600581.SH,*ST검멀,2002-09-04,2.6368,2.6307,2.6489,2.5915,2.6036,2884263,24902417,-0.0332,-1.26,8.6339,2.2187,1120600000,N/A,3529268067,130000000,0,409427850,16.8522,5.4243,1.1427,33.5026,
600581.SH,*ST검멀,2002-09-05,2.6036,2.5945,2.6126,2.525,2.5401,6535404,55317705,-0.0634,-2.4362,8.4643,5.0272,1093300000,N/A,3443288218.5,130000000,0,409427850,16.4416,5.2922,1.1148,32.6864,
600581.SH,*ST검멀,2002-09-06,2.5401,2.5371,2.5613,2.5069,2.5099,3586810,30023883,-0.0302,-1.1891,8.3706,2.7591,1080300000,N/A,3402345433.5,130000000,0,409427850,16.2461,5.2293,1.1016,32.2978,
600581.SH,*ST검멀,2002-09-09,2.5099,2.4888,2.5341,2.4646,2.5311,2784066,23056517,0.0211,0.8424,8.2816,2.1416,1089400000,N/A,3431005383,130000000,0,409427850,16.383,5.2733,1.1108,32.5699,
600581.SH,*ST검멀,2002-09-10,2.5311,2.5311,2.5371,2.4948,2.5099,1445485,12019515,-0.0211,-0.8353,8.3152,1.1119,1080300000,N/A,3402345433.5,130000000,0,409427850,16.2461,5.2293,1.1016,32.2978,
600581.SH,*ST검멀,2002-09-11,2.5099,2.5039,2.5129,2.4556,2.4918,3498756,28654706,-0.0181,-0.722,8.19,2.6914,1072500000,N/A,3377779762.5,130000000,0,409427850,16.1288,5.1915,1.0936,32.0646,
600581.SH,*ST검멀,2002-09-12,2.4918,2.4767,2.5643,2.4676,2.5371,5653528,47392586,0.0453,1.8182,8.3828,4.3489,1092000000,N/A,3439193940,130000000,0,409427850,16.4221,5.2859,1.1135,32.6476,
600581.SH,*ST검멀,2002-09-13,2.5371,2.5371,2.5734,2.525,2.5492,3555020,30078619,0.0121,0.4762,8.4609,2.7346,1097200000,N/A,3455571054,130000000,0,409427850,16.5003,5.3111,1.1188,32.803,
600581.SH,*ST검멀,2002-09-16,2.5492,2.5401,2.5401,2.4827,2.4918,2701915,22414433,-0.0574,-2.2512,8.2958,2.0784,1072500000,N/A,3377779762.5,130000000,0,409427850,16.1288,5.1915,1.0936,32.0646,
600581.SH,*ST검멀,2002-09-17,2.4918,2.4978,2.6156,2.4948,2.5945,13886942,118406580,0.1027,4.1212,8.5265,10.6823,1116700000,N/A,3516985231.5,130000000,0,409427850,16.7935,5.4055,1.1387,33.386,
600581.SH,*ST검멀,2002-09-18,2.5945,2.5764,2.6277,2.5703,2.5824,6391112,55062969,-0.0121,-0.4657,8.6156,4.9162,1111500000,N/A,3500608117.5,130000000,0,409427850,16.7153,5.3803,1.1334,33.2306,
600581.SH,*ST검멀,2002-09-19,2.5824,2.5703,2.6489,2.5673,2.6398,7111546,61676105,0.0574,2.2222,8.6727,5.4704,1136200000,N/A,3578399409,130000000,0,409427850,17.0868,5.4999,1.1586,33.969,
600581.SH,*ST검멀,2002-09-20,2.6398,2.6398,2.6398,2.5824,2.5975,4173715,36047069,-0.0423,-1.6018,8.6367,3.2106,1118000000,N/A,3521079510,130000000,0,409427850,16.8131,5.4118,1.14,33.4249,
600581.SH,*ST검멀,2002-09-23,2.5975,2.5854,2.6126,2.5734,2.6036,1687978,14483860,0.006,0.2326,8.5806,1.2984,1120600000,N/A,3529268067,130000000,0,409427850,16.8522,5.4243,1.1427,33.5026,
600581.SH,*ST검멀,2002-09-24,2.6036,2.6036,2.6036,2.5552,2.5643,2783735,23703116,-0.0393,-1.5081,8.5149,2.1413,1103700000,N/A,3476042446.5,130000000,0,409427850,16.598,5.3425,1.1254,32.9974,
600581.SH,*ST검멀,2002-09-25,2.5643,2.5522,2.6066,2.5431,2.5824,3008292,25631967,0.0181,0.7067,8.5204,2.3141,1111500000,N/A,3500608117.5,130000000,0,409427850,16.7153,5.3803,1.1334,33.2306,
600581.SH,*ST검멀,2002-09-26,2.5824,2.5794,2.5915,2.5431,2.5462,2433488,20626445,-0.0362,-1.4035,8.4761,1.8719,1095900000,N/A,3451476775.5,130000000,0,409427850,16.4807,5.3048,1.1175,32.7642,
600581.SH,*ST검멀,2002-09-27,2.5462,2.5462,2.5613,2.4978,2.5039,2574348,21430803,-0.0423,-1.6607,8.3247,1.9803,1077700000,N/A,3394156876.5,130000000,0,409427850,16.207,5.2167,1.0989,32.2201,
600581.SH,*ST검멀,2002-10-08,2.5039,2.4767,2.522,2.4707,2.519,1190439,9863005,0.0151,0.6031,8.2852,0.9157,1084200000,N/A,3414628269,130000000,0,409427850,16.3048,5.2481,1.1055,32.4144,
600581.SH,*ST검멀,2002-10-09,2.519,2.519,2.525,2.4556,2.4676,1997260,16375556,-0.0513,-2.0384,8.199,1.5364,1062100000,N/A,3345025534.5,130000000,0,409427850,15.9724,5.1412,1.083,31.7537,
600581.SH,*ST검멀,2002-10-10,2.4676,2.4676,2.4978,2.4586,2.4737,1176738,9649719,0.006,0.2448,8.2004,0.9052,1064700000,N/A,3353214091.5,130000000,0,409427850,16.0115,5.1538,1.0857,31.8314,
600581.SH,*ST검멀,2002-10-11,2.4737,2.4737,2.5039,2.3921,2.4133,5077246,40987035,-0.0604,-2.442,8.0727,3.9056,1038700000,N/A,3271328521.5,130000000,0,409427850,15.6205,5.0279,1.0591,31.0541,
