測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600660.SH,腦珓產薛,1993-06-10,N/A,0.635,0.6373,0.5159,0.5723,2094400,85801000,N/A,N/A,40.9669,18.0608,464435820,N/A,2290459500,11596400,0,57190000,N/A,20.3849,N/A,N/A,
600660.SH,腦珓產薛,1993-06-11,0.5723,0.583,0.5942,0.5401,0.5873,1796600,72599000,0.015,2.6217,40.4091,15.4927,476612040,N/A,2350509000,11596400,0,57190000,N/A,20.9193,N/A,N/A,
600660.SH,腦珓產薛,1993-06-14,0.5873,0.5973,0.5973,0.5576,0.5587,295900,11762000,-0.0286,-4.8662,39.7499,2.5517,453419240,N/A,2236129000,11596400,0,57190000,N/A,19.9013,N/A,N/A,
600660.SH,腦珓產薛,1993-06-15,0.5587,0.5473,0.55,0.5313,0.5327,236600,8914000,-0.026,-4.6547,37.6754,2.0403,432313792,N/A,2132043200,11596400,0,57190000,N/A,18.975,N/A,N/A,
600660.SH,腦珓產薛,1993-06-16,0.5327,0.5316,0.5499,0.5273,0.5379,277300,10418000,0.0051,0.9657,37.5694,2.3913,436488496,N/A,2152631600,11596400,0,57190000,N/A,19.1582,N/A,N/A,
600660.SH,腦珓產薛,1993-06-17,0.5379,0.5373,0.5433,0.5373,0.5416,140100,5305000,0.0037,0.6908,37.8658,1.2081,439503560,N/A,2167501000,11596400,0,57190000,N/A,19.2906,N/A,N/A,
600660.SH,腦珓產薛,1993-06-18,0.5416,0.543,0.5787,0.538,0.5702,584200,23179000,0.0286,5.277,39.6765,5.0378,462696360,N/A,2281881000,11596400,0,57190000,N/A,20.3085,N/A,N/A,
600660.SH,腦珓產薛,1993-06-21,0.5702,0.5301,0.5494,0.5287,0.5329,327900,12279000,-0.0373,-6.5414,37.4474,2.8276,432429756,N/A,2132615100,11596400,0,57190000,N/A,18.9801,N/A,N/A,
600660.SH,腦珓產薛,1993-06-22,0.5329,0.597,0.5985,0.5433,0.5499,362600,14124000,0.017,3.1912,38.952,3.1268,446229472,N/A,2200671200,11596400,0,57190000,N/A,19.5858,N/A,N/A,
600660.SH,腦珓產薛,1993-06-23,0.5499,0.5516,0.5516,0.5374,0.5419,113200,4304000,-0.008,-1.4553,38.0212,0.9762,439735488,N/A,2168644800,11596400,0,57190000,N/A,19.3007,N/A,N/A,
600660.SH,腦珓產薛,1993-06-24,0.5419,0.543,0.5433,0.5251,0.5286,130800,4868000,-0.0133,-2.4525,37.2171,1.1279,428950836,N/A,2115458100,11596400,0,57190000,N/A,18.8274,N/A,N/A,
600660.SH,腦珓產薛,1993-06-25,0.5286,0.527,0.5573,0.5266,0.5389,320000,12041000,0.0103,1.9465,37.6281,2.7595,437300244,N/A,2156634900,11596400,0,57190000,N/A,19.1939,N/A,N/A,
600660.SH,腦珓產薛,1993-06-28,0.5389,0.5144,0.5483,0.5144,0.5294,210100,5202000,-0.0094,-1.7502,24.7596,1.2078,429646620,N/A,2118889500,17394600,0,85785000,N/A,18.8579,N/A,N/A,
600660.SH,腦珓產薛,1993-06-29,0.5294,0.5294,0.5507,0.5251,0.5444,688700,17453000,0.015,2.834,25.3419,3.9593,441822840,N/A,2178939000,17394600,0,85785000,N/A,19.3924,N/A,N/A,
600660.SH,腦珓產薛,1993-06-30,0.5444,0.5519,0.5519,0.5219,0.5294,527600,13240000,-0.015,-2.7559,25.0948,3.0331,429646620,N/A,2118889500,17394600,0,85785000,N/A,18.8579,N/A,N/A,
600660.SH,腦珓產薛,1993-07-01,0.5294,0.5316,0.5337,0.5166,0.5337,305900,7452000,0.0043,0.8097,24.3609,1.7586,433125540,N/A,2136046500,17394600,0,85785000,N/A,19.0106,N/A,N/A,
600660.SH,腦珓產薛,1993-07-02,0.5337,0.5335,0.5359,0.5209,0.523,287000,7067000,-0.0107,-2.008,24.6237,1.6499,424428240,N/A,2093154000,17394600,0,85785000,N/A,18.6289,N/A,N/A,
600660.SH,腦珓產薛,1993-07-05,0.523,0.5311,0.5333,0.5037,0.5037,388800,9302000,-0.0193,-3.6885,23.9249,2.2352,408773100,N/A,2015947500,17394600,0,85785000,N/A,17.9418,N/A,N/A,
