代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600732.SH,*ST新梅,1996-08-16,N/A,2.4677,2.5664,2.3053,2.406,26180100,303955000,N/A,N/A,11.6102,72.7225,421200000,N/A,1399320000,36000000,0,119600000,42.8013,10.081,3.1314,N/A,
600732.SH,*ST新梅,1996-08-19,2.406,2.3649,2.3752,2.2415,2.26,3905400,43681000,-0.146,-6.0684,11.1848,10.8483,395640000,N/A,1314404000,36000000,0,119600000,40.2039,9.4693,2.9413,N/A,
600732.SH,*ST新梅,1996-08-20,2.26,2.2168,2.2909,2.1593,2.1778,2486600,26873807,-0.0823,-3.6397,10.8075,6.9072,381240000,N/A,1266564000,36000000,0,119600000,38.7406,9.1246,2.8343,N/A,
600732.SH,*ST新梅,1996-08-21,2.1778,2.2621,2.2621,2.1737,2.1983,1861800,20002728,0.0206,0.9443,10.7438,5.1717,384840000,N/A,1278524000,36000000,0,119600000,39.1064,9.2108,2.861,N/A,
600732.SH,*ST新梅,1996-08-22,2.1983,2.2168,2.2312,2.0914,2.1058,1889800,19828613,-0.0925,-4.2095,10.4924,5.2494,368640000,N/A,1224704000,36000000,0,119600000,37.4602,8.823,2.7406,N/A,
600732.SH,*ST新梅,1996-08-23,2.1058,2.1325,2.1387,1.9577,2.0235,2277400,22461863,-0.0823,-3.9062,9.8629,6.3261,354240000,N/A,1176864000,36000000,0,119600000,35.997,8.4784,2.6336,N/A,
600732.SH,*ST新梅,1996-08-26,2.0235,1.9947,2.0359,1.9084,1.9228,1568400,15056428,-0.1008,-4.9797,9.5999,4.3567,336600000,N/A,1118260000,36000000,0,119600000,34.2044,8.0562,2.5024,N/A,
600732.SH,*ST新梅,1996-08-27,1.9228,1.8919,1.9947,1.8878,1.9742,1139300,10827480,0.0514,2.6738,9.5036,3.1647,345600000,N/A,1148160000,36000000,0,119600000,35.119,8.2716,2.5693,N/A,
600732.SH,*ST新梅,1996-08-28,1.9742,1.9803,2.1037,1.9536,2.077,1952000,19105513,0.1028,5.2083,9.7877,5.4222,363600000,N/A,1207960000,36000000,0,119600000,36.9481,8.7024,2.7031,N/A,
600732.SH,*ST新梅,1996-08-29,2.077,2.077,2.0914,2.0153,2.0174,1638100,16262995,-0.0596,-2.8713,9.928,4.5503,353160000,N/A,1173276000,36000000,0,119600000,35.8872,8.4525,2.6255,N/A,
600732.SH,*ST新梅,1996-08-30,2.0174,2.0297,2.077,1.9968,2.077,1816900,18145695,0.0596,2.9562,9.9872,5.0469,363600000,N/A,1207960000,36000000,0,119600000,36.9481,8.7024,2.7031,N/A,
600732.SH,*ST新梅,1996-09-02,2.077,2.0996,2.2148,2.0996,2.1346,2711700,28544607,0.0576,2.7723,10.5265,7.5325,373680000,N/A,1241448000,36000000,0,119600000,37.9724,8.9437,2.7781,N/A,
600732.SH,*ST新梅,1996-09-03,2.1346,2.1243,2.1922,2.0564,2.0605,1335400,13815000,-0.074,-3.4682,10.3452,3.7094,360720000,N/A,1198392000,36000000,0,119600000,36.6554,8.6335,2.6817,N/A,
600732.SH,*ST新梅,1996-09-04,2.0605,2.0523,2.1387,2.0359,2.1243,1394700,14182824,0.0637,3.0938,10.1691,3.8742,371880000,N/A,1235468000,36000000,0,119600000,37.7895,8.9006,2.7647,N/A,
600732.SH,*ST新梅,1996-09-05,2.1243,2.1284,2.1901,2.0667,2.1037,2554000,26780128,-0.0206,-0.9681,10.4856,7.0944,368280000,N/A,1223508000,36000000,0,119600000,37.4237,8.8144,2.7379,N/A,
600732.SH,*ST新梅,1996-09-06,2.1037,2.0976,2.1284,2.0564,2.0667,1107200,11183597,-0.037,-1.7595,10.1008,3.0756,361800000,N/A,1201980000,36000000,0,119600000,36.7652,8.6593,2.6898,N/A,
600732.SH,*ST新梅,1996-09-09,2.0667,2.0564,2.0564,2.0174,2.0318,868300,8592010,-0.035,-1.6915,9.8952,2.4119,355680000,N/A,1181648000,36000000,0,119600000,36.1433,8.5129,2.6443,N/A,
600732.SH,*ST新梅,1996-09-10,2.0318,1.9906,2.0091,1.8508,1.8693,1223300,11569099,-0.1625,-7.996,9.4573,3.3981,327240000,N/A,1087164000,36000000,0,119600000,33.2533,7.8322,2.4328,N/A,
600732.SH,*ST新梅,1996-09-11,1.8693,1.8693,1.8878,1.8097,1.8508,849000,7649558,-0.0185,-0.9901,9.0101,2.3583,324000000,N/A,1076400000,36000000,0,119600000,32.924,7.7546,2.4087,N/A,
600732.SH,*ST新梅,1996-09-12,1.8508,1.9084,1.9289,1.7068,1.7624,1065500,9419145,-0.0884,-4.7778,8.8401,2.9597,308520000,N/A,1024972000,36000000,0,119600000,31.351,7.3841,2.2937,N/A,
600732.SH,*ST新梅,1996-09-13,1.7624,1.748,1.8508,1.7377,1.8508,883500,7721304,0.0884,5.0175,8.7394,2.4542,324000000,N/A,1076400000,36000000,0,119600000,32.924,7.7546,2.4087,N/A,
600732.SH,*ST新梅,1996-09-16,1.8508,1.8611,1.8693,1.748,1.7953,598800,5268570,-0.0555,-3,8.7985,1.6633,314280000,N/A,1044108000,36000000,0,119600000,31.9363,7.522,2.3365,N/A,
600732.SH,*ST新梅,1996-09-17,1.7953,1.8261,1.8426,1.7891,1.8097,502900,4430540,0.0144,0.8018,8.81,1.3969,316800000,N/A,1052480000,36000000,0,119600000,32.1924,7.5823,2.3552,N/A,
600732.SH,*ST新梅,1996-09-18,1.8097,1.8261,1.896,1.7891,1.7932,780000,6986804,-0.0165,-0.9091,8.9574,2.1667,313920000,N/A,1042912000,36000000,0,119600000,31.8997,7.5134,2.3338,N/A,
600732.SH,*ST新梅,1996-09-19,1.7932,1.7891,1.8055,1.7685,1.7912,441300,3829312,-0.0021,-0.1147,8.6773,1.2258,313560000,N/A,1041716000,36000000,0,119600000,31.8632,7.5048,2.3311,N/A,
600732.SH,*ST新梅,1996-09-20,1.7912,1.8097,1.8755,1.7994,1.8714,840000,7530513,0.0802,4.4776,8.9649,2.3333,327600000,N/A,1088360000,36000000,0,119600000,33.2899,7.8408,2.4355,N/A,
600732.SH,*ST新梅,1996-09-23,1.8714,1.9125,1.9906,1.8714,1.9906,2068600,19513673,0.1193,6.3736,9.4333,5.7461,348480000,N/A,1157728000,36000000,0,119600000,35.4116,8.3405,2.5907,N/A,
600732.SH,*ST新梅,1996-09-24,1.9906,2.0153,2.0996,1.8981,2.0276,3332400,33307444,0.037,1.8595,9.995,9.2567,354960000,N/A,1179256000,36000000,0,119600000,36.0701,8.4956,2.6389,N/A,
600732.SH,*ST新梅,1996-09-25,2.0276,2.0564,2.0873,1.9536,1.9701,1414000,13768792,-0.0576,-2.8398,9.7375,3.9278,344880000,N/A,1145768000,36000000,0,119600000,35.0458,8.2544,2.564,N/A,
