ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-06,N/A,8.0703,14.2416,8.0703,12.694,68067778,845277981,N/A,N/A,12.4182,77.3506,1176546630,N/A,4011000000,87999000,0,300000000,92.1951,10.6887,11.7458,98.264,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-09,12.694,12.2288,13.4726,12.0864,13.2827,38965831,514559373,0.5887,4.6372,13.2054,44.2799,1231106010,N/A,4197000000,87999000,0,300000000,96.4704,11.1843,12.2905,102.8207,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-10,13.2827,13.0073,13.6625,12.5326,13.1118,25212318,348696943,-0.1709,-1.2866,13.8304,28.6507,1215266190,N/A,4143000000,87999000,0,300000000,95.2292,11.0404,12.1324,101.4978,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-11,13.1118,13.0073,13.2922,12.8175,13.0738,15313720,209995257,-0.038,-0.2896,13.7129,17.4022,1211746230,N/A,4131000000,87999000,0,300000000,94.9534,11.0085,12.0973,101.2038,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-12,13.0738,13.1498,14.1467,13.0453,13.9188,26829259,387583134,0.845,6.4633,14.4463,30.4881,1290065340,N/A,4398000000,87999000,0,300000000,101.0905,11.72,12.8791,107.745,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-13,13.9188,13.6245,13.9283,13.3966,13.4916,17546854,251929176,-0.4272,-3.0696,14.3575,19.9398,1250465790,N/A,4263000000,87999000,0,300000000,97.9875,11.3602,12.4838,104.4377,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-16,13.4916,13.558,13.8049,13.4251,13.6625,9891117,141705858,0.1709,1.2667,14.3266,11.24,1266305610,N/A,4317000000,87999000,0,300000000,99.2287,11.5041,12.6419,105.7606,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-17,13.6625,13.7004,13.7004,12.9219,13.3776,14549787,204091726,-0.2848,-2.0848,14.0271,16.534,1239905910,N/A,4227000000,87999000,0,300000000,97.16,11.2643,12.3784,103.5557,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-18,13.3776,13.2732,13.653,12.9314,13.558,10641466,148037595,0.1804,1.3485,13.9114,12.0927,1256625720,N/A,4284000000,87999000,0,300000000,98.4702,11.4162,12.5453,104.9521,
601007.SH,ฝ๐ม๊ทนต๊,2007-04-19,13.558,13.558,13.558,12.8175,13.0833,10002060,139248807,-0.4747,-3.5014,13.922,11.3661,1212626220,N/A,4134000000,87999000,0,300000000,95.0223,11.0165,12.106,101.2773,
