╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
601566.SH,╬едамУ,2011-05-30,N/A,17.5878,17.7942,15.7381,15.7959,22394493,456343625,N/A,N/A,20.3775,23.3276,1836480000,N/A,10960150900,96000000,0,572930000,30.4174,12.0613,6.5441,-125.9057,
601566.SH,╬едамУ,2011-05-31,15.7959,16.2749,16.8033,16.1923,16.5556,10605470,211596114,0.7597,4.8092,19.9516,11.0474,1924800000,N/A,11487246500,96000000,0,572930000,31.8802,12.6414,6.8588,-131.9608,
601566.SH,╬едамУ,2011-06-01,16.5556,16.1923,17.5382,15.8868,17.1914,10522322,214804464,0.6358,3.8404,20.4142,10.9608,1998720000,N/A,11928402600,96000000,0,572930000,33.1045,13.1268,7.1222,-137.0286,
601566.SH,╬едамУ,2011-06-02,17.1914,16.6795,18.141,16.5969,17.8024,11928407,253546809,0.611,3.5543,21.2557,12.4254,2069760000,N/A,12352370800,96000000,0,572930000,34.2812,13.5934,7.3754,-141.899,
601566.SH,╬едамУ,2011-06-03,17.8024,17.6786,17.9015,17.1749,17.6538,5750861,122387339,-0.1486,-0.8349,21.2816,5.9905,2052480000,N/A,12249243400,96000000,0,572930000,33.995,13.4799,7.3138,-140.7143,
601566.SH,╬едамУ,2011-06-07,17.6538,17.4639,17.629,16.985,17.4309,4364536,91455504,-0.2229,-1.2629,20.9542,4.5464,2026560000,N/A,12094552300,96000000,0,572930000,33.5657,13.3097,7.2214,-138.9372,
601566.SH,╬едамУ,2011-06-08,17.4309,17.34,17.7777,16.8281,17.6043,3183804,66993216,0.1734,0.9948,21.0419,3.3165,2046720000,N/A,12214867600,96000000,0,572930000,33.8996,13.4421,7.2933,-140.3194,
601566.SH,╬едамУ,2011-06-09,17.6043,17.4061,17.5052,16.6795,16.762,2634171,54498354,-0.8422,-4.7842,20.689,2.7439,1948800000,N/A,11630479000,96000000,0,572930000,32.2777,12.799,6.9444,-133.6062,
601566.SH,╬едамУ,2011-06-10,16.762,16.7951,17.2244,16.6382,17.0428,2090773,42947724,0.2807,1.6749,20.5416,2.1779,1981440000,N/A,11825275200,96000000,0,572930000,32.8183,13.0133,7.0607,-135.8439,
601566.SH,╬едамУ,2011-06-13,17.0428,16.762,17.0676,16.6795,16.7042,1729434,35260759,-0.3385,-1.9864,20.3886,1.8015,1942080000,N/A,11590373900,96000000,0,572930000,32.1664,12.7548,6.9204,-133.1454,
601566.SH,╬едамУ,2011-06-14,16.7042,16.5804,16.9107,16.5556,16.6382,1584343,31996464,-0.0661,-0.3955,20.1954,1.6504,1934400000,N/A,11544539500,96000000,0,572930000,32.0392,12.7044,6.893,-132.6189,
601566.SH,╬едамУ,2011-06-15,16.6382,16.6382,16.8364,16.2666,16.3327,1344914,26979492,-0.3055,-1.8362,20.0604,1.401,1898880000,N/A,11332555400,96000000,0,572930000,31.4509,12.4711,6.7665,-130.1837,
601566.SH,╬едамУ,2011-06-16,16.3327,16.151,16.6382,16.118,16.5721,1629358,32623102,0.2395,1.4661,20.0221,1.6972,1926720000,N/A,11498705100,96000000,0,572930000,31.912,12.654,6.8657,-132.0924,
601566.SH,╬едамУ,2011-06-17,16.5721,16.473,16.5969,15.9859,16.0189,1389876,27390755,-0.5532,-3.3383,19.7073,1.4478,1862400000,N/A,11114842000,96000000,0,572930000,30.8467,12.2315,6.6365,-127.6827,
601566.SH,╬едамУ,2011-06-20,16.0189,16.0519,16.118,15.7381,15.8125,1055408,20220657,-0.2064,-1.2887,19.1591,1.0994,1838400000,N/A,10971609500,96000000,0,572930000,30.4492,12.0739,6.551,-126.0373,
601566.SH,╬едамУ,2011-06-21,15.8125,15.8207,16.407,15.6969,16.3492,1409129,27455963,0.5367,3.3943,19.4844,1.4678,1900800000,N/A,11344014000,96000000,0,572930000,31.4827,12.4837,6.7733,-130.3154,
601566.SH,╬едамУ,2011-06-22,16.3492,16.2336,16.4318,16.1345,16.2501,689197,13581148,-0.0991,-0.6061,19.7058,0.7179,1889280000,N/A,11275262400,96000000,0,572930000,31.2919,12.4081,6.7323,-129.5256,
601566.SH,╬едамУ,2011-06-23,16.2501,16.2005,16.7868,16.0684,16.696,1358083,27246316,0.4459,2.7439,20.0623,1.4147,1941120000,N/A,11584644600,96000000,0,572930000,32.1505,12.7485,6.917,-133.0796,
601566.SH,╬едамУ,2011-06-24,16.696,16.5556,16.985,16.5391,16.8446,2148547,43780896,0.1486,0.8902,20.377,2.2381,1958400000,N/A,11687772000,96000000,0,572930000,32.4367,12.862,6.9786,-134.2643,
601566.SH,╬едамУ,2011-06-27,16.8446,16.8281,17.4474,16.7042,17.3153,2180920,45602071,0.4707,2.7941,20.9096,2.2718,2013120000,N/A,12014342100,96000000,0,572930000,33.343,13.2214,7.1736,-138.0158,
601566.SH,╬едамУ,2011-06-28,17.3153,17.1336,17.53,17.051,17.34,1965431,41250388,0.0248,0.1431,20.988,2.0473,2016000000,N/A,12031530000,96000000,0,572930000,33.3907,13.2403,7.1838,-138.2133,
601566.SH,╬едамУ,2011-06-29,17.34,17.34,17.34,17.34,17.34,N/A,N/A,0,0,N/A,N/A,2016000000,N/A,12031530000,96000000,0,572930000,33.3907,13.2403,7.1838,-138.2133,
601566.SH,╬едамУ,2011-06-30,17.34,17.0923,17.8685,17.0593,17.8437,3173043,67346398,0.5037,2.9048,21.2245,3.3053,2074560000,N/A,12381017300,96000000,0,572930000,34.3607,13.6249,7.3925,-142.228,
601566.SH,╬едамУ,2011-07-01,17.8437,17.6125,17.8602,17.53,17.6621,1646372,35249357,-0.1817,-1.018,21.4103,1.715,2053440000,N/A,12254972700,96000000,0,572930000,34.0109,13.4862,7.3172,-140.7801,
601566.SH,╬едамУ,2011-07-04,17.6621,17.7529,17.7529,17.5878,17.7116,1587136,33957776,0.0495,0.2805,21.3956,1.6533,2059200000,N/A,12289348500,96000000,0,572930000,34.1063,13.524,7.3378,-141.175,
601566.SH,╬едамУ,2011-07-05,17.7116,17.8355,17.9015,17.34,17.4722,1487362,31595331,-0.2395,-1.352,21.2425,1.5493,2031360000,N/A,12123198800,96000000,0,572930000,33.6452,13.3412,7.2386,-139.2663,
601566.SH,╬едамУ,2011-07-06,17.4722,17.4144,17.5465,17.1336,17.4144,2001605,42028455,-0.0578,-0.3308,20.9974,2.085,2024640000,N/A,12083093700,96000000,0,572930000,33.5339,13.2971,7.2146,-138.8056,
601566.SH,╬едамУ,2011-07-07,17.4144,17.4144,18.1245,17.4061,17.885,4846651,104984174,0.4707,2.7027,21.6612,5.0486,2079360000,N/A,12409663800,96000000,0,572930000,34.4402,13.6564,7.4096,-142.5571,
601566.SH,╬едамУ,2011-07-08,17.885,17.9676,18.1245,17.4969,17.7364,1936029,41662636,-0.1486,-0.831,21.5196,2.0167,2062080000,N/A,12306536400,96000000,0,572930000,34.154,13.543,7.348,-141.3724,
601566.SH,╬едамУ,2011-07-11,17.7364,17.7199,18.3144,17.5217,18.1988,7541483,165740022,0.4624,2.6071,21.9771,7.8557,2115840000,N/A,12627377200,96000000,0,572930000,35.0444,13.896,7.5396,-145.0581,
601566.SH,╬едамУ,2011-07-12,18.1988,18.2153,18.2814,18.0089,18.1988,4467637,98394763,0,0,22.0239,4.6538,2115840000,N/A,12627377200,96000000,0,572930000,35.0444,13.896,7.5396,-145.0581,
601566.SH,╬едамУ,2011-07-13,18.1988,18.207,18.4795,18.0667,18.3639,6528949,144929845,0.1651,0.9074,22.198,6.801,2135040000,N/A,12741963200,96000000,0,572930000,35.3624,14.0221,7.608,-146.3744,
601566.SH,╬едамУ,2011-07-14,18.3639,18.4548,18.4548,18.1905,18.3309,3433836,76168538,-0.033,-0.1799,22.1818,3.5769,2131200000,N/A,12719046000,96000000,0,572930000,35.2988,13.9969,7.5943,-146.1112,
601566.SH,╬едамУ,2011-07-15,18.3309,18.3226,18.4217,18.0419,18.3061,3035150,67114977,-0.0248,-0.1351,22.1126,3.1616,2128320000,N/A,12701858100,96000000,0,572930000,35.2511,13.978,7.5841,-145.9137,
601566.SH,╬едамУ,2011-07-18,18.3061,18.6034,19.4456,18.6034,19.4043,13175980,305956388,1.0982,5.9991,23.2208,13.725,2256000000,N/A,13463855000,96000000,0,572930000,37.3658,14.8166,8.039,-154.6672,
601566.SH,╬едамУ,2011-07-19,19.4043,19.3713,19.7346,18.9997,19.6025,8650190,204485322,0.1982,1.0213,23.6394,9.0106,2279040000,N/A,13601358200,96000000,0,572930000,37.7474,14.9679,8.1211,-156.2468,
601566.SH,╬едамУ,2011-07-20,19.6025,19.619,19.941,19.0328,19.4126,6229510,146135695,-0.1899,-0.9688,23.4586,6.4891,2256960000,N/A,13469584300,96000000,0,572930000,37.3817,14.8229,8.0425,-154.733,
601566.SH,╬едамУ,2011-07-21,19.4126,19.2392,19.6355,19.2309,19.264,3646105,85748265,-0.1486,-0.7656,23.5178,3.798,2239680000,N/A,13366456900,96000000,0,572930000,37.0955,14.7094,7.9809,-153.5484,
601566.SH,╬едамУ,2011-07-22,19.264,19.4043,19.4456,18.8924,19.0988,2936272,68341545,-0.1651,-0.8573,23.2749,3.0586,2220480000,N/A,13251870900,96000000,0,572930000,36.7775,14.5833,7.9125,-152.232,
601566.SH,╬едамУ,2011-07-25,19.0988,19.074,19.4374,18.496,18.9337,7008247,162245843,-0.1651,-0.8647,23.1507,7.3003,2201280000,N/A,13137284900,96000000,0,572930000,36.4595,14.4572,7.844,-150.9157,
601566.SH,╬едамУ,2011-07-26,18.9337,18.9337,19.4786,18.686,19.2309,4528281,105457029,0.2973,1.57,23.2885,4.717,2235840000,N/A,13343539700,96000000,0,572930000,37.0319,14.6841,7.9672,-153.2851,
601566.SH,╬едамУ,2011-07-27,19.2309,19.008,20.1392,18.7438,20.131,6676755,159813418,0.9,4.6801,23.9358,6.955,2340480000,N/A,13968033400,96000000,0,572930000,38.7651,15.3714,8.3401,-160.459,
601566.SH,╬едамУ,2011-07-28,20.131,19.8172,20.7833,19.6603,20.6346,7485982,185249013,0.5037,2.5021,24.7461,7.7979,2399040000,N/A,14317520700,96000000,0,572930000,39.735,15.756,8.5487,-164.4738,
601566.SH,╬едамУ,2011-07-29,20.6346,20.4778,21.0475,20.4778,20.6677,5310197,133250705,0.033,0.1601,25.0934,5.5315,2402880000,N/A,14340437900,96000000,0,572930000,39.7986,15.7812,8.5624,-164.7371,
601566.SH,╬едамУ,2011-08-01,20.6677,20.4117,20.6346,20.1392,20.5273,2939896,72523548,-0.1404,-0.6792,24.6687,3.0624,2386560000,N/A,14243039800,96000000,0,572930000,39.5283,15.674,8.5043,-163.6182,
601566.SH,╬едамУ,2011-08-02,20.5273,20.23,21.1383,20.0484,20.8824,5136051,128741403,0.3551,1.7297,25.0662,5.3501,2427840000,N/A,14489399700,96000000,0,572930000,40.212,15.9451,8.6514,-166.4483,
601566.SH,╬едамУ,2011-08-03,20.8824,20.6759,21.3035,20.5108,20.998,2262548,57427131,0.1156,0.5536,25.3816,2.3568,2441280000,N/A,14569609900,96000000,0,572930000,40.4346,16.0334,8.6993,-167.3697,
601566.SH,╬едамУ,2011-08-04,20.998,20.9732,21.4191,20.5603,20.6594,2221484,56383619,-0.3385,-1.6123,25.3811,2.314,2401920000,N/A,14334708600,96000000,0,572930000,39.7827,15.7749,8.559,-164.6712,
601566.SH,╬едамУ,2011-08-05,20.6594,20.23,21.2044,18.6612,20.7585,2700323,67366538,0.0991,0.4796,24.9476,2.8128,2413440000,N/A,14403460200,96000000,0,572930000,39.9735,15.8506,8.6001,-165.461,
601566.SH,╬едамУ,2011-08-08,20.7585,20.23,20.8906,19.652,20.5025,3646022,90204677,-0.256,-1.2331,24.7406,3.7979,2383680000,N/A,14225851900,96000000,0,572930000,39.4806,15.6551,8.494,-163.4207,
