іъ¬л,Љт≥∆,»’∆Џ,«∞ ’≈ћЉџ(‘™),њ™≈ћЉџ(‘™),„оЄяЉџ(‘™),„оµЌЉџ(‘™), ’≈ћЉџ(‘™),≥…љїЅњ(є…),≥…љїљрґо(‘™),’«µш(‘™),’«µшЈщ(%),ЊщЉџ(‘™),її ÷¬ (%),Aє…ЅчЌ® –÷µ(‘™),Bє…ЅчЌ® –÷µ(‘™),„№ –÷µ(‘™),Aє…ЅчЌ®є…±Њ(є…),Bє…ЅчЌ®є…±Њ(є…),„№є…±Њ(є…), –”ѓ¬ , –Њї¬ , –ѕъ¬ , –ѕ÷¬ ,
603993.SH,¬е—фов“µ,2012-10-09,N/A,2.7252,3.0322,2.7127,3.0166,175040418,1571741690,N/A,N/A,8.9793,87.5202,1926000000,N/A,48883522155.75,200000000,0,5076170525,43.7172,4.7048,8.0141,-811.3192,
603993.SH,¬е—фов“µ,2012-10-10,3.0166,3.0949,3.3173,2.8161,3.3173,146349124,1397022023,0.3007,9.9688,9.5458,73.1746,2118000000,N/A,53756645859.75,200000000,0,5076170525,48.0753,5.1738,8.8131,-892.1984,
603993.SH,¬е—фов“µ,2012-10-11,3.3173,3.1669,3.2703,2.9852,3.0322,120872279,1213281052,-0.2851,-8.593,10.0377,60.4361,1936000000,N/A,49137330682,200000000,0,5076170525,43.9442,4.7292,8.0558,-815.5316,
603993.SH,¬е—фов“µ,2012-10-12,3.0322,2.9602,3.0573,2.8286,2.8474,75998677,709372476,-0.1848,-6.095,9.334,37.9993,1818000000,N/A,46142390072.25,200000000,0,5076170525,41.2658,4.441,7.5648,-765.8246,
603993.SH,¬е—фов“µ,2012-10-15,2.8474,2.8505,2.9038,2.7722,2.8537,55633510,504666843,0.0063,0.22,9.0713,27.8168,1822000000,N/A,46243913482.75,200000000,0,5076170525,41.3566,4.4508,7.5814,-767.5096,
603993.SH,¬е—фов“µ,2012-10-16,2.8537,2.8192,2.8662,2.7534,2.7754,43095012,386985012,-0.0783,-2.7442,8.9798,21.5475,1772000000,N/A,44974870851.5,200000000,0,5076170525,40.2216,4.3286,7.3734,-746.4473,
603993.SH,¬е—фов“µ,2012-10-17,2.7754,2.7816,2.8036,2.672,2.744,45126451,393767565,-0.0313,-1.1287,8.7259,22.5632,1752000000,N/A,44467253799,200000000,0,5076170525,39.7677,4.2798,7.2901,-738.0224,
603993.SH,¬е—фов“µ,2012-10-18,2.744,2.7409,2.8505,2.7221,2.8224,55210820,491810765,0.0783,2.8539,8.9079,27.6054,1802000000,N/A,45736296430.25,200000000,0,5076170525,40.9026,4.4019,7.4982,-759.0847,
603993.SH,¬е—фов“µ,2012-10-19,2.8224,2.813,2.813,2.7127,2.7221,35181409,310167487,-0.1002,-3.5516,8.8162,17.5907,1738000000,N/A,44111921862.25,200000000,0,5076170525,39.4499,4.2456,7.2319,-732.125,
603993.SH,¬е—фов“µ,2012-10-22,2.7221,2.6626,2.6845,2.5999,2.672,31156050,263086740,-0.0501,-1.8412,8.4442,15.578,1706000000,N/A,43299734578.25,200000000,0,5076170525,38.7235,4.1674,7.0987,-718.6451,
