股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中证500ETF沽3月5000,90002500,2023-08-16,0.0197,0.0217,0.0217,0.0193,375,76673.0,0.0,0.0,0.0,0.0
中证500ETF沽3月5000,90002500,2023-08-17,0.0252,0.0203,0.0264,0.0203,617,141923.0,28.11,-6.45,-0.0014,0.0
中证500ETF沽3月5000,90002500,2023-08-18,0.0199,0.03,0.03,0.0199,440,116638.0,49.75,47.78,0.0097,0.0
中证500ETF沽3月5000,90002500,2023-08-21,0.03,0.0384,0.0384,0.03,567,186858.0,28.0,28.0,0.0084,0.0
中证500ETF沽3月5000,90002500,2023-08-22,0.0378,0.0368,0.0477,0.0353,1098,428634.0,31.55,-6.36,-0.0025,0.0
中证500ETF沽3月5000,90002500,2023-08-23,0.0378,0.0491,0.0498,0.0378,1139,500703.0,32.88,34.52,0.0126,0.0
中证500ETF沽3月5000,90002500,2023-08-24,0.048,0.0437,0.0487,0.0387,1183,521474.0,21.14,-7.61,-0.0036,0.0
中证500ETF沽3月5000,90002500,2023-08-25,0.0442,0.0566,0.061,0.0442,495,260522.0,38.44,29.52,0.0129,0.0
中证500ETF沽3月5000,90002500,2023-08-28,0.0331,0.051,0.0519,0.0057,2763,1137480.0,81.63,-9.89,-0.0056,0.0
中证500ETF沽3月5000,90002500,2023-08-29,0.0511,0.0306,0.0511,0.029,272,100692.0,43.33,-40.0,-0.0204,0.0
中证500ETF沽3月5000,90002500,2023-08-30,0.0299,0.0293,0.0305,0.027,199,55625.0,11.44,-4.25,-0.0013,0.0
中证500ETF沽3月5000,90002500,2023-08-31,0.0293,0.0304,0.0304,0.0277,332,96326.0,9.22,3.75,0.0011,0.0
中证500ETF沽3月5000,90002500,2023-09-01,0.0303,0.0286,0.0303,0.0259,199,53830.0,14.47,-5.92,-0.0018,0.0
中证500ETF沽3月5000,90002500,2023-09-04,0.0272,0.0213,0.0272,0.0211,154,35293.0,21.33,-25.52,-0.0073,0.0
中证500ETF沽3月5000,90002500,2023-09-05,0.0223,0.0232,0.0235,0.0208,182,40714.0,12.68,8.92,0.0019,0.0
中证500ETF沽3月5000,90002500,2023-09-06,0.0226,0.0217,0.0228,0.0212,191,41906.0,6.9,-6.47,-0.0015,0.0
中证500ETF沽3月5000,90002500,2023-09-07,0.0227,0.0289,0.0305,0.0222,358,95230.0,38.07,32.57,0.0071,0.0
中证500ETF沽3月5000,90002500,2023-09-08,0.0314,0.0309,0.0325,0.0287,794,243845.0,13.15,6.92,0.002,0.0
中证500ETF沽3月5000,90002500,2023-09-11,0.0299,0.0256,0.03,0.0244,335,91602.0,18.12,-17.15,-0.0053,0.0
中证500ETF沽3月5000,90002500,2023-09-12,0.0275,0.0244,0.0275,0.0241,325,82601.0,13.28,-4.69,-0.0012,0.0
中证500ETF沽3月5000,90002500,2023-09-13,0.0244,0.03,0.0324,0.0244,427,128453.0,32.79,22.95,0.0056,0.0
中证500ETF沽3月5000,90002500,2023-09-14,0.0293,0.0287,0.0307,0.0287,248,74244.0,6.67,-4.33,-0.0013,0.0
中证500ETF沽3月5000,90002500,2023-09-15,0.0283,0.0296,0.0318,0.0282,299,88979.0,12.54,3.14,0.0009,0.0
中证500ETF沽3月5000,90002500,2023-09-18,0.0292,0.0265,0.0298,0.0261,108,29060.0,12.5,-10.47,-0.0031,0.0
中证500ETF沽3月5000,90002500,2023-09-19,0.0261,0.0273,0.0304,0.0261,86,24400.0,16.23,3.02,0.0008,0.0
中证500ETF沽3月5000,90002500,2023-09-20,0.0276,0.0299,0.0302,0.0276,354,104601.0,9.52,9.52,0.0026,0.0
中证500ETF沽3月5000,90002500,2023-09-21,0.0295,0.0313,0.034,0.0295,1008,327805.0,15.05,4.68,0.0014,0.0
中证500ETF沽3月5000,90002500,2023-09-22,0.0318,0.0242,0.0318,0.024,388,101440.0,24.92,-22.68,-0.0071,0.0
中证500ETF沽3月5000,90002500,2023-09-25,0.0252,0.0237,0.0263,0.0235,421,104346.0,11.62,-1.66,-0.0004,0.0
中证500ETF沽3月5000,90002500,2023-09-26,0.0239,0.0245,0.0245,0.0217,319,72621.0,11.81,3.38,0.0008,0.0
中证500ETF沽3月5000,90002500,2023-09-27,0.0255,0.0215,0.0255,0.0215,476,108690.0,16.33,-12.24,-0.003,0.0
中证500ETF沽3月5000,90002500,2023-09-28,0.022,0.0208,0.022,0.0187,276,53565.0,14.8,-6.73,-0.0015,0.0
中证500ETF沽3月5000,90002500,2023-10-09,0.0213,0.0201,0.023,0.0196,499,104252.0,15.96,-5.63,-0.0012,0.0
中证500ETF沽3月5000,90002500,2023-10-10,0.0199,0.0209,0.0209,0.0179,200,37714.0,14.93,3.98,0.0008,0.0
中证500ETF沽3月5000,90002500,2023-10-11,0.0196,0.0196,0.0197,0.0167,253,45982.0,14.35,-6.22,-0.0013,0.0
中证500ETF沽3月5000,90002500,2023-10-12,0.0183,0.0166,0.0183,0.016,185,31142.0,11.73,-15.31,-0.003,0.0
中证500ETF沽3月5000,90002500,2023-10-13,0.018,0.0183,0.0183,0.0168,233,41673.0,9.04,10.24,0.0017,0.0
中证500ETF沽3月5000,90002500,2023-10-16,0.0187,0.0226,0.0238,0.0187,377,80704.0,27.87,23.5,0.0043,0.0
中证500ETF沽3月5000,90002500,2023-10-17,0.0226,0.0218,0.0226,0.0208,203,43005.0,7.96,-3.54,-0.0008,0.0
中证500ETF沽3月5000,90002500,2023-10-18,0.0221,0.0282,0.0282,0.0221,274,67533.0,27.98,29.36,0.0064,0.0
中证500ETF沽3月5000,90002500,2023-10-19,0.0293,0.0372,0.0372,0.0275,1267,390686.0,34.4,31.91,0.009,0.0
中证500ETF沽3月5000,90002500,2023-10-20,0.0381,0.0424,0.0464,0.0344,894,342401.0,33.33,17.78,0.0064,0.0
中证500ETF沽3月5000,90002500,2023-10-23,0.046,0.0772,0.0892,0.046,2419,1512455.0,101.89,82.08,0.0348,0.0
中证500ETF沽3月5000,90002500,2023-10-24,0.0715,0.0574,0.0788,0.0546,1353,870383.0,31.35,-25.65,-0.0198,0.0
中证500ETF沽3月5000,90002500,2023-10-25,0.0525,0.0474,0.0525,0.0405,1329,583890.0,20.91,-17.42,-0.01,0.0
中证500ETF沽3月5000,90002500,2023-10-26,0.0477,0.0451,0.0544,0.0429,1242,620988.0,24.26,-4.85,-0.0023,0.0
中证500ETF沽3月5000,90002500,2023-10-27,0.0448,0.0331,0.0463,0.0311,1313,552360.0,33.93,-26.12,-0.0117,0.0
中证500ETF沽3月5000,90002500,2023-10-30,0.0343,0.0281,0.0343,0.027,249,73760.0,22.05,-15.11,-0.005,0.0
