code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,year,quarter
sh.600000,2007-04-28,2007-03-31,,,,,0.500611,2.704495,0.500611,2007,1
sh.600000,2007-08-22,2007-06-30,,,,,2.343903,10.658463,2.343903,2007,2
sh.600000,2007-10-27,2007-09-30,,,,,2.891676,13.496361,2.891676,2007,3
sh.600000,2008-02-28,2007-12-31,,,,,2.141979,10.079840,2.141979,2007,4
sh.600000,2008-04-26,2008-03-31,,,,,-0.589015,-1.683889,-0.589015,2008,1
sh.600000,2008-08-23,2008-06-30,,,,,1.307070,3.425383,1.307070,2008,2
sh.600000,2008-10-30,2008-09-30,,,,,2.409267,6.291784,2.409267,2008,3
sh.600000,2009-04-10,2008-12-31,,,,,3.052728,8.429644,3.052728,2008,4
sh.600000,2009-04-30,2009-03-31,,,,,4.239950,11.317211,4.239950,2009,1
sh.600000,2009-08-29,2009-06-30,,,,,0.404333,0.994373,0.404333,2009,2
sh.600000,2009-10-29,2009-09-30,,,,,1.548585,3.964060,1.548585,2009,3
sh.600000,2010-04-07,2009-12-31,,,,,2.810180,7.830557,2.810180,2009,4
sh.600000,2010-04-30,2010-03-31,,,,,-6.939801,-18.130419,-6.939801,2010,1
sh.600000,2010-08-30,2010-06-30,,,,,-1.222650,-3.062687,-1.222650,2010,2
sh.600000,2010-10-29,2010-09-30,,,,,-0.562329,-1.359546,-0.562329,2010,3
sh.600000,2011-03-30,2010-12-31,,,,,-0.110459,-0.287143,-0.110459,2010,4
sh.600000,2011-04-28,2011-03-31,,,,,2.638941,6.602149,2.638941,2011,1
sh.600000,2011-08-16,2011-06-30,,,,,0.306018,0.755289,0.306018,2011,2
sh.600000,2011-10-29,2011-09-30,,,,,0.824989,2.036991,0.824989,2011,3
sh.600000,2012-03-16,2011-12-31,,,,,2.924950,7.262108,2.924950,2011,4
sh.600000,2012-04-28,2012-03-31,,,,,3.860729,9.690140,3.860729,2012,1
sh.600000,2012-08-15,2012-06-30,,,,,0.524702,1.215682,0.524702,2012,2
sh.600000,2012-10-31,2012-09-30,,,,,0.522219,1.210621,0.522219,2012,3
sh.600000,2013-03-14,2012-12-31,,,,,1.116043,2.698202,1.116043,2012,4
sh.600000,2013-04-27,2013-03-31,,,,,4.562355,11.219082,4.562355,2013,1
sh.600000,2013-08-14,2013-06-30,,,,,5.403650,12.889293,5.403650,2013,2
sh.600000,2013-10-31,2013-09-30,,,,,3.758875,9.079251,3.758875,2013,3
sh.600000,2014-03-20,2013-12-31,,,,,3.083597,7.485583,3.083597,2013,4
sh.600000,2014-04-30,2014-03-31,,,,,-2.882001,-7.360196,-2.882001,2014,1
sh.600000,2014-08-14,2014-06-30,,,,,-0.514608,-1.328727,-0.514608,2014,2
sh.600000,2014-10-31,2014-09-30,,,,,0.557729,1.423750,0.557729,2014,3
sh.600000,2015-03-19,2014-12-31,,,,,1.551846,4.036275,1.551846,2014,4
sh.600000,2015-04-30,2015-03-31,,,,,-2.467006,-7.196834,-2.467006,2015,1
sh.600000,2015-08-20,2015-06-30,,,,,2.980057,8.733027,2.980057,2015,2
sh.600000,2015-10-30,2015-09-30,,,,,2.712304,7.862388,2.712304,2015,3
sh.600000,2016-04-07,2015-12-31,,,,,2.448448,7.036100,2.448448,2015,4
sh.600000,2016-04-30,2016-03-31,,,,,-2.407622,-7.237620,-2.407622,2016,1
sh.600000,2016-08-11,2016-06-30,,,,,-1.631322,-4.957433,-1.631322,2016,2
sh.600000,2016-10-29,2016-09-30,,,,,-1.238712,-3.641281,-1.238712,2016,3
sh.600000,2017-04-01,2016-12-31,,,,,-1.194046,-3.576754,-1.194046,2016,4
sh.600000,2017-04-27,2017-03-31,,,,,-4.744334,-13.720898,-4.744334,2017,1
sh.600000,2017-08-30,2017-06-30,,,,,-3.071550,-8.976439,-3.071550,2017,2
sh.600000,2017-10-28,2017-09-30,,,,,-0.788536,-2.320596,-0.788536,2017,3
sh.600000,2018-04-28,2017-12-31,,,,,-0.834265,-2.557598,-0.834265,2017,4
sh.600000,2018-04-28,2018-03-31,,,,,-1.229529,-3.369873,-1.229529,2018,1
sh.600000,2018-08-30,2018-06-30,,,,,-1.435701,-4.086332,-1.435701,2018,2
sh.600000,2018-10-31,2018-09-30,,,,,-2.848571,-8.292392,-2.848571,2018,3
sh.600000,2019-03-26,2018-12-31,,,,,-1.972462,-5.987083,-1.972462,2018,4
sh.600000,2019-04-30,2019-03-31,,,,,3.702440,11.153865,3.702440,2019,1
sh.600000,2019-08-24,2019-06-30,,,,,0.090493,0.272500,0.090493,2019,2
sh.600000,2019-10-30,2019-09-30,,,,,-0.460761,-1.380341,-0.460761,2019,3
sh.600000,2020-04-25,2019-12-31,,,,,-0.359897,-1.153295,-0.359897,2019,4
sh.600000,2020-04-25,2020-03-31,,,,,1.666751,5.269709,1.666751,2020,1
sh.600000,2020-08-29,2020-06-30,,,,,1.216257,4.216073,1.216257,2020,2
sh.600000,2020-10-31,2020-09-30,,,,,1.412550,4.649037,1.412550,2020,3
sh.600000,2021-03-27,2020-12-31,,,,,0.643561,2.142373,0.643561,2020,4
sh.600000,2021-04-30,2021-03-31,,,,,-2.619139,-6.878348,-2.619139,2021,1
sh.600000,2021-08-28,2021-06-30,,,,,-2.186227,-7.047477,-2.186227,2021,2
sh.600000,2021-10-30,2021-09-30,,,,,-1.177204,-4.009352,-1.177204,2021,3
sh.600000,2022-04-28,2021-12-31,,,,,-1.346682,-4.783544,-1.346682,2021,4
sh.600000,2022-04-28,2022-03-31,,,,,-5.495060,-14.020717,-5.495060,2022,1
sh.600000,2022-08-27,2022-06-30,,,,,0.661540,2.132861,0.661540,2022,2
sh.600000,2022-10-29,2022-09-30,,,,,-0.163161,-0.570112,-0.163161,2022,3
sh.600000,2023-04-19,2022-12-31,,,,,1.935612,7.021540,1.935612,2022,4
sh.600000,2023-04-29,2023-03-31,,,,,2.151022,6.403653,2.151022,2023,1
sh.600000,2023-08-31,2023-06-30,,,,,0.531470,2.053187,0.531470,2023,2
sh.600000,2023-10-28,2023-09-30,,,,,0.818326,3.801273,0.818326,2023,3
sz.000001,2007-04-26,2007-03-31,,,,,1.581275,6.950994,1.581275,2007,1
sz.000001,2007-08-16,2007-06-30,,,,,2.693003,11.717890,2.693003,2007,2
sz.000001,2007-10-23,2007-09-30,,,,,2.650151,10.986363,2.650151,2007,3
sz.000001,2008-03-20,2007-12-31,,,,,1.577754,6.434793,1.577754,2007,4
sz.000001,2008-04-24,2008-03-31,,,,,1.076780,3.810157,1.076780,2008,1
sz.000001,2008-08-21,2008-06-30,,,,,1.305220,4.331946,1.305220,2008,2
sz.000001,2008-10-24,2008-09-30,,,,,3.681610,11.922140,3.681610,2008,3
sz.000001,2009-03-20,2008-12-31,,,,,1.677283,39.643686,1.677283,2008,4
sz.000001,2009-04-24,2009-03-31,,,,,0.719669,2.411946,0.719669,2009,1
sz.000001,2009-08-21,2009-06-30,,,,,0.513275,1.663446,0.513275,2009,2
sz.000001,2009-10-29,2009-09-30,,,,,-0.023199,-0.070884,-0.023199,2009,3
sz.000001,2010-03-12,2009-12-31,,,,,2.129990,6.399393,2.129990,2009,4
sz.000001,2010-04-29,2010-03-31,,,,,2.108008,5.455636,2.108008,2010,1
sz.000001,2010-08-25,2010-06-30,,,,,-0.357038,-1.000105,-0.357038,2010,2
sz.000001,2010-10-28,2010-09-30,,,,,0.803958,2.234881,0.803958,2010,3
sz.000001,2011-02-25,2010-12-31,,,,,1.206634,3.460683,1.206634,2010,4
sz.000001,2011-04-27,2011-03-31,,,,,3.670922,8.886254,3.670922,2011,1
sz.000001,2011-08-18,2011-06-30,,,,,2.600689,6.672780,2.600689,2011,2
sz.000001,2011-10-26,2011-09-30,,,,,0.862822,2.306192,0.862822,2011,3
sz.000001,2012-03-09,2011-12-31,,,,,-0.487108,-1.389672,-0.487108,2011,4
sz.000001,2012-04-26,2012-03-31,,,,,7.900942,21.979151,7.900942,2012,1
sz.000001,2012-08-16,2012-06-30,,,,,7.338897,20.966364,7.338897,2012,2
sz.000001,2012-10-26,2012-09-30,,,,,2.803164,8.001385,2.803164,2012,3
sz.000001,2013-03-08,2012-12-31,,,,,4.675340,13.754828,4.675340,2012,4
sz.000001,2013-04-24,2013-03-31,,,,,1.307073,3.933965,1.307073,2013,1
sz.000001,2013-08-23,2013-06-30,,,,,1.229403,3.824193,1.229403,2013,2
sz.000001,2013-10-23,2013-09-30,,,,,2.699772,8.620298,2.699772,2013,3
sz.000001,2014-03-07,2013-12-31,,,,,1.756577,6.018909,1.756577,2013,4
sz.000001,2014-04-24,2014-03-31,,,,,3.732733,11.890977,3.732733,2014,1
sz.000001,2014-08-14,2014-06-30,,,,,1.538134,5.304210,1.538134,2014,2
sz.000001,2014-10-24,2014-09-30,,,,,-0.093484,-0.325538,-0.093484,2014,3
sz.000001,2015-03-13,2014-12-31,,,,,0.344940,1.278709,0.344940,2014,4
sz.000001,2015-04-24,2015-03-31,,,,,0.556093,2.042103,0.556093,2015,1
sz.000001,2015-08-14,2015-06-30,,,,,3.918884,15.755028,3.918884,2015,2
sz.000001,2015-10-23,2015-09-30,,,,,1.292796,5.185175,1.292796,2015,3
sz.000001,2016-03-10,2015-12-31,,,,,-0.018989,-0.083512,-0.018989,2015,4
sz.000001,2016-04-21,2016-03-31,,,,,2.152695,9.738416,2.152695,2016,1
sz.000001,2016-08-12,2016-06-30,,,,,-0.606146,-2.700781,-0.606146,2016,2
sz.000001,2016-10-21,2016-09-30,,,,,-1.865874,-8.170415,-1.865874,2016,3
sz.000001,2017-03-17,2016-12-31,,,,,0.102019,0.486260,0.102019,2016,4
sz.000001,2017-04-22,2017-03-31,,,,,-4.150115,-18.507885,-4.150115,2017,1
sz.000001,2017-08-11,2017-06-30,,,,,-2.370499,-10.210292,-2.370499,2017,2
sz.000001,2017-10-21,2017-09-30,,,,,-1.978969,-8.248682,-1.978969,2017,3
sz.000001,2018-03-15,2017-12-31,,,,,-1.122833,-5.122256,-1.122833,2017,4
sz.000001,2018-04-20,2018-03-31,,,,,1.478698,6.283851,1.478698,2018,1
sz.000001,2018-08-16,2018-06-30,,,,,0.130239,0.557508,0.130239,2018,2
sz.000001,2018-10-24,2018-09-30,,,,,-0.130504,-0.552894,-0.130504,2018,3
sz.000001,2019-03-07,2018-12-31,,,,,-0.491132,-2.309735,-0.491132,2018,4
sz.000001,2019-04-24,2019-03-31,,,,,1.637640,7.142627,1.637640,2019,1
sz.000001,2019-08-08,2019-06-30,,,,,0.389686,1.716029,0.389686,2019,2
sz.000001,2019-10-22,2019-09-30,,,,,0.820529,3.576479,0.820529,2019,3
sz.000001,2020-02-14,2019-12-31,,,,,-0.290125,-1.419578,-0.290125,2019,4
sz.000001,2020-04-21,2020-03-31,,,,,0.474318,2.104469,0.474318,2020,1
sz.000001,2020-08-28,2020-06-30,,,,,-0.327673,-1.876444,-0.327673,2020,2
sz.000001,2020-10-22,2020-09-30,,,,,0.263357,1.370569,0.263357,2020,3
sz.000001,2021-02-02,2020-12-31,,,,,-0.105255,-0.558663,-0.105255,2020,4
